run_name,model,lr,lora_r,best_val_f1,accuracy,macro_precision,macro_recall,macro_f1,f1_depressed,f1_non_depressed
qwen3.5_9b_lr0.0001_r4,Qwen/Qwen3.5-9B,0.0001,4,0.5417,0.8085,0.7708,0.7814,0.7756,0.6897,0.8615
qwen3.5_9b_lr0.0001_r8,Qwen/Qwen3.5-9B,0.0001,8,0.6508,0.7872,0.7538,0.7868,0.7631,0.6875,0.8387
qwen3.5_9b_lr0.0001_r16,Qwen/Qwen3.5-9B,0.0001,16,0.727,0.766,0.7359,0.7716,0.7432,0.6667,0.8197
qwen3.5_9b_lr0.0002_r4,Qwen/Qwen3.5-9B,0.0002,4,0.5417,0.8085,0.7735,0.8019,0.7834,0.7097,0.8571
qwen3.5_9b_lr0.0002_r8,Qwen/Qwen3.5-9B,0.0002,8,0.8182,0.766,0.7359,0.7716,0.7432,0.6667,0.8197
qwen3.5_9b_lr0.0002_r16,Qwen/Qwen3.5-9B,0.0002,16,0.7471,0.7872,0.763,0.8074,0.7696,0.7059,0.8333
qwen3.5_9b_lr5e-05_r4,Qwen/Qwen3.5-9B,5e-05,4,0.4054,0.766,0.7446,0.6483,0.6628,0.4762,0.8493
qwen3.5_9b_lr5e-05_r8,Qwen/Qwen3.5-9B,5e-05,8,0.5417,0.8511,0.8258,0.8117,0.8181,0.7407,0.8955
qwen3.5_9b_lr5e-05_r16,Qwen/Qwen3.5-9B,5e-05,16,0.697,0.7447,0.7194,0.7565,0.7235,0.6471,0.8
gemma_3_12b_it_lr0.0001_r4,google/gemma-3-12b-it,0.0001,4,0.7054,0.6596,0.6473,0.6753,0.6398,0.5556,0.7241
gemma_3_12b_it_lr0.0001_r8,google/gemma-3-12b-it,0.0001,8,0.6508,0.7872,0.7724,0.684,0.7033,0.5455,0.8611
gemma_3_12b_it_lr0.0001_r16,google/gemma-3-12b-it,0.0001,16,0.646,0.7021,0.69,0.7262,0.6849,0.6111,0.7586
gemma_3_12b_it_lr0.0002_r4,google/gemma-3-12b-it,0.0002,4,0.581,0.8085,0.7803,0.7403,0.7548,0.64,0.8696
gemma_3_12b_it_lr0.0002_r8,google/gemma-3-12b-it,0.0002,8,0.6179,0.766,0.7275,0.7511,0.7353,0.6452,0.8254
gemma_3_12b_it_lr0.0002_r16,google/gemma-3-12b-it,0.0002,16,0.7603,0.7021,0.69,0.7262,0.6849,0.6111,0.7586
gemma_3_12b_it_lr5e-05_r4,google/gemma-3-12b-it,5e-05,4,0.7054,0.6596,0.6639,0.6959,0.6466,0.5789,0.7143
gemma_3_12b_it_lr5e-05_r8,google/gemma-3-12b-it,5e-05,8,0.5758,0.766,0.7275,0.7511,0.7353,0.6452,0.8254
gemma_3_12b_it_lr5e-05_r16,google/gemma-3-12b-it,5e-05,16,0.581,0.7234,0.6917,0.7208,0.6965,0.6061,0.7869
